,CHAN1,CHAN2,CHAN3,CHAN4,time
0,-9.628,4.8,-10.904,8.0256,-0.0003
1,-9.976,4.96,-10.832,8.096,-0.00029949999999999996
2,-9.628,4.96,-10.832,8.0256,-0.00029899999999999995
3,-9.976,4.8,-10.904,8.096,-0.0002985
4,-9.628,4.96,-10.824,8.0256,-0.000298
5,-9.976,4.88,-10.904,8.096,-0.00029749999999999997
6,-9.628,4.88,-10.912,8.0256,-0.00029699999999999996
7,-9.976,5.04,-10.816,8.096,-0.0002965
8,-9.628,5.04,-10.824,8.096,-0.000296
9,-9.976,4.88,-10.904,8.0256,-0.00029549999999999997
10,-9.628,4.96,-10.832,8.0256,-0.00029499999999999996
11,-9.976,5.12,-10.896,8.096,-0.00029449999999999995
12,-9.628,5.12,-10.832,8.0256,-0.000294
13,-9.976,4.96,-10.912,8.096,-0.0002935
14,-9.628,5.12,-10.832,8.096,-0.00029299999999999997
15,-9.976,5.12,-10.904,8.0256,-0.00029249999999999995
16,-9.628,5.12,-10.896,8.0256,-0.000292
17,-9.976,5.28,-10.824,8.096,-0.0002915
18,-9.628,5.2,-10.832,7.9552000000000005,-0.00029099999999999997
19,-9.976,5.28,-10.912,8.166400000000001,-0.00029049999999999996
20,-9.628,5.2,-10.832,8.0256,-0.00029
21,-9.976,5.36,-10.896,8.096,-0.0002895
22,-9.976,5.2,-10.896,8.096,-0.000289
23,-9.628,5.44,-10.824,8.0256,-0.00028849999999999997
24,-9.628,5.36,-10.952,8.096,-0.00028799999999999995
25,-9.976,5.28,-10.784,8.0256,-0.0002875
26,-9.976,5.28,-10.832,8.096,-0.000287
27,-9.628,5.44,-10.896,8.0256,-0.00028649999999999997
28,-9.628,5.44,-10.832,8.096,-0.00028599999999999996
29,-9.976,5.28,-10.904,8.0256,-0.00028549999999999995
30,-9.628,5.36,-10.832,8.096,-0.000285
31,-9.976,5.5200000000000005,-10.904,8.0256,-0.0002845
32,-9.628,5.36,-10.896,8.0256,-0.00028399999999999996
33,-9.976,5.5200000000000005,-10.832,8.096,-0.00028349999999999995
34,-9.976,5.5200000000000005,-10.832,8.0256,-0.000283
35,-9.512,5.44,-10.904,8.096,-0.0002825
36,-9.628,5.44,-10.912,8.0256,-0.00028199999999999997
37,-9.976,5.6000000000000005,-10.832,8.096,-0.00028149999999999996
38,-9.628,5.5200000000000005,-10.904,8.096,-0.000281
39,-9.976,5.6000000000000005,-10.824,8.0256,-0.0002805
40,-9.628,5.5200000000000005,-10.824,8.0256,-0.00028
41,-9.976,5.68,-10.904,8.096,-0.00027949999999999996
42,-9.628,5.68,-10.832,8.096,-0.00027899999999999995
43,-9.976,5.5200000000000005,-10.896,8.0256,-0.0002785
44,-9.976,5.68,-10.904,8.096,-0.000278
45,-9.628,5.6000000000000005,-10.824,8.0256,-0.00027749999999999997
