,CHAN1,CHAN2,CHAN3,CHAN4,time
0,-9.84,0.48,-10.832,3.92,-0.0003
1,-9.68,0.6,-10.904,4.08,-0.00029949999999999996
2,-9.68,0.51,-10.832,3.92,-0.00029899999999999995
3,-9.84,0.63,-10.896,4.08,-0.0002985
4,-9.68,0.6,-10.896,3.92,-0.000298
5,-9.84,0.6599999999999999,-10.824,4.08,-0.00029749999999999997
6,-9.68,0.6,-10.832,3.92,-0.00029699999999999996
7,-9.84,0.69,-10.904,4.08,-0.0002965
8,-9.84,0.6599999999999999,-10.832,4.08,-0.000296
9,-9.68,0.72,-10.904,3.92,-0.00029549999999999997
10,-9.84,0.69,-10.832,3.92,-0.00029499999999999996
11,-9.68,0.8099999999999999,-10.904,4.08,-0.00029449999999999995
12,-9.84,0.75,-10.832,3.92,-0.000294
13,-9.68,0.8099999999999999,-10.896,4.08,-0.0002935
14,-9.68,0.75,-10.944,3.92,-0.00029299999999999997
15,-9.84,0.84,-10.792,4.08,-0.00029249999999999995
16,-9.68,0.8099999999999999,-10.816,3.92,-0.000292
17,-9.84,0.87,-10.912,4.08,-0.0002915
18,-9.84,0.8099999999999999,-10.904,3.92,-0.00029099999999999997
19,-9.68,0.96,-10.824,4.08,-0.00029049999999999996
20,-9.68,0.87,-10.904,4.08,-0.00029
21,-9.84,0.96,-10.824,3.92,-0.0002895
22,-9.68,0.9299999999999999,-10.816,3.92,-0.000289
23,-9.84,0.99,-10.912,4.08,-0.00028849999999999997
24,-9.84,0.96,-10.896,3.92,-0.00028799999999999995
25,-9.68,1.02,-10.824,4.08,-0.0002875
26,-9.68,0.99,-10.832,3.92,-0.000287
27,-9.84,1.05,-10.896,4.08,-0.00028649999999999997
28,-9.68,1.02,-10.824,3.92,-0.00028599999999999996
29,-9.84,1.1099999999999999,-10.896,4.08,-0.00028549999999999995
30,-9.68,1.08,-10.816,3.92,-0.000285
31,-9.84,1.14,-10.896,4.08,-0.0002845
32,-9.68,1.1099999999999999,-10.824,3.92,-0.00028399999999999996
33,-9.84,1.17,-10.904,4.08,-0.00028349999999999995
34,-9.84,1.14,-10.888,3.92,-0.000283
35,-9.68,1.2,-10.824,4.08,-0.0002825
36,-9.68,1.17,-10.832,3.92,-0.00028199999999999997
37,-9.84,1.23,-10.896,4.08,-0.00028149999999999996
38,-9.84,1.2,-10.896,3.92,-0.000281
39,-9.68,1.29,-10.832,4.08,-0.0002805
40,-9.68,1.26,-10.896,4.08,-0.00028
41,-9.84,1.3199999999999998,-10.832,3.92,-0.00027949999999999996
42,-9.68,1.29,-10.832,3.92,-0.00027899999999999995
43,-9.84,1.3499999999999999,-10.888,4.08,-0.0002785
44,-9.84,1.3199999999999998,-10.824,3.92,-0.000278
45,-9.68,1.41,-10.896,4.08,-0.00027749999999999997
46,-9.68,1.3499999999999999,-10.896,3.92,-0.00027699999999999996
47,-9.84,1.47,-10.832,4.08,-0.0002765
48,-9.68,1.41,-10.896,3.92,-0.000276
49,-9.84,1.47,-10.832,4.08,-0.0002755
50,-9.68,1.44,-10.808,3.92,-0.00027499999999999996
51,-9.84,1.5,-10.944,4.08,-0.00027449999999999995
52,-9.68,1.47,-10.776,3.92,-0.000274
53,-9.84,1.53,-10.944,4.08,-0.0002735
54,-9.68,1.5,-10.832,4.08,-0.00027299999999999997
55,-9.84,1.56,-10.904,3.92,-0.00027249999999999996
56,-9.84,1.47,-10.832,3.92,-0.000272
57,-9.68,1.65,-10.904,4.08,-0.0002715
58,-9.84,1.5899999999999999,-10.912,4.08,-0.000271
59,-9.68,1.65,-10.824,3.92,-0.00027049999999999996
60,-9.68,1.6199999999999999,-10.912,4.08,-0.00026999999999999995
61,-9.84,1.68,-10.824,3.92,-0.0002695
62,-9.84,1.65,-10.832,3.92,-0.000269
63,-9.68,1.71,-10.896,4.08,-0.00026849999999999997
64,-9.84,1.68,-10.832,3.92,-0.00026799999999999995
65,-9.68,1.74,-10.904,4.08,-0.0002675
66,-9.84,1.74,-10.904,3.92,-0.000267
67,-9.68,1.7999999999999998,-10.832,4.08,-0.00026649999999999997
68,-9.84,1.77,-10.832,3.92,-0.00026599999999999996
69,-9.68,1.8299999999999998,-10.904,4.08,-0.0002655
70,-9.68,1.7999999999999998,-10.832,4.08,-0.000265
71,-9.84,1.8599999999999999,-10.896,3.92,-0.0002645
72,-9.84,1.8299999999999998,-10.896,3.92,-0.00026399999999999997
73,-9.68,1.89,-10.832,4.08,-0.00026349999999999995
74,-9.68,1.8599999999999999,-10.888,3.92,-0.000263
75,-9.84,1.95,-10.832,4.08,-0.0002625
76,-9.68,1.89,-10.832,3.92,-0.00026199999999999997
77,-9.84,1.98,-10.896,4.08,-0.00026149999999999996
78,-9.84,1.92,-10.896,3.92,-0.00026099999999999995
79,-9.68,2.01,-10.824,4.08,-0.0002605
80,-9.68,1.98,-10.896,3.92,-0.00026
81,-9.84,2.04,-10.832,4.08,-0.00025949999999999997
82,-9.68,1.98,-10.832,4.08,-0.00025899999999999995
83,-9.84,2.13,-10.904,3.92,-0.0002585
84,-9.84,2.13,-10.824,3.92,-0.000258
85,-9.68,2.04,-10.896,4.08,-0.00025749999999999997
86,-9.84,2.07,-10.832,4.08,-0.00025699999999999996
87,-9.68,2.16,-10.904,3.92,-0.0002565
88,-9.84,2.1,-10.944,3.92,-0.000256
89,-9.68,2.19,-10.776,4.08,-0.0002555
90,-9.84,2.16,-10.824,3.92,-0.00025499999999999996
91,-9.68,2.2199999999999998,-10.896,4.08,-0.00025449999999999995
92,-9.84,2.16,-10.896,3.92,-0.000254
93,-9.68,2.31,-10.832,4.08,-0.0002535
94,-9.84,2.31,-10.912,3.92,-0.00025299999999999997
95,-9.68,2.2199999999999998,-10.824,4.08,-0.00025249999999999996
96,-9.68,2.25,-10.904,3.92,-0.00025199999999999995
97,-9.84,2.34,-10.832,4.08,-0.0002515
98,-9.84,2.28,-10.832,3.92,-0.000251
99,-9.68,2.37,-10.904,4.08,-0.00025049999999999996
100,-9.68,2.34,-10.832,3.92,-0.00025
101,-9.84,2.4,-10.896,4.08,-0.0002495
102,-9.68,2.37,-10.824,3.92,-0.000249
103,-9.84,2.46,-10.904,4.08,-0.00024849999999999997
104,-9.84,2.4,-10.904,3.92,-0.00024799999999999996
105,-9.68,2.4899999999999998,-10.824,4.08,-0.0002475
106,-9.68,2.4299999999999997,-10.832,3.92,-0.000247
107,-9.84,2.52,-10.896,4.08,-0.0002465
108,-9.84,2.46,-10.904,3.92,-0.00024599999999999996
109,-9.68,2.55,-10.816,4.08,-0.00024549999999999995
110,-9.84,2.52,-10.832,3.92,-0.000245
111,-9.68,2.58,-10.904,4.08,-0.0002445
112,-9.84,2.55,-10.816,3.92,-0.00024399999999999997
113,-9.68,2.6399999999999997,-10.896,4.08,-0.00024349999999999998
114,-9.68,2.58,-10.824,3.92,-0.00024299999999999997
115,-9.84,2.67,-10.904,4.08,-0.00024249999999999999
116,-9.68,2.61,-10.832,3.92,-0.00024199999999999997
117,-9.84,2.6999999999999997,-10.904,4.08,-0.00024149999999999996
118,-9.84,2.6399999999999997,-10.888,3.92,-0.00024099999999999998
119,-9.68,2.79,-10.832,4.08,-0.0002405
120,-9.68,2.67,-10.896,3.92,-0.00023999999999999998
121,-9.84,2.79,-10.824,4.08,-0.00023949999999999997
122,-9.68,2.6999999999999997,-10.832,3.92,-0.00023899999999999998
123,-9.84,2.82,-10.896,4.08,-0.0002385
124,-9.84,2.76,-10.832,3.92,-0.00023799999999999998
125,-9.68,2.85,-10.896,4.08,-0.00023749999999999997
126,-9.84,2.79,-10.936,3.92,-0.00023699999999999996
127,-9.68,2.88,-10.784,4.08,-0.00023649999999999998
128,-9.84,2.82,-10.832,4.08,-0.000236
