,CHAN1,CHAN2,CHAN3,CHAN4,time
104,-9.976,1.04,-6.0,5.984,-0.00024799999999999996
105,-9.628,0.96,-6.08,6.0544,-0.0002475
106,-9.628,0.96,-6.0,6.0544,-0.000247
107,-9.976,1.12,-6.08,5.984,-0.0002465
108,-9.976,1.12,-6.0,5.984,-0.00024599999999999996
109,-9.628,0.96,-6.08,6.0544,-0.00024549999999999995
110,-9.628,1.12,-6.0,6.0544,-0.000245
111,-9.976,1.04,-6.08,5.984,-0.0002445
112,-9.628,1.04,-6.0,6.0544,-0.00024399999999999997
113,-9.976,1.2,-6.08,5.984,-0.00024349999999999998
114,-9.628,1.04,-6.0,6.0544,-0.00024299999999999997
115,-9.976,1.2,-6.08,5.984,-0.00024249999999999999
116,-9.628,1.04,-6.0,6.0544,-0.00024199999999999997
117,-9.976,1.2,-6.08,5.984,-0.00024149999999999996
118,-9.628,1.12,-6.0,5.984,-0.00024099999999999998
119,-9.976,1.2,-6.08,6.0544,-0.0002405
120,-9.628,1.2,-6.0,5.984,-0.00023999999999999998
121,-9.976,1.12,-6.08,6.0544,-0.00023949999999999997
122,-9.976,1.12,-6.0,6.0544,-0.00023899999999999998
123,-9.628,1.36,-6.16,5.913600000000001,-0.0002385
124,-9.628,1.12,-6.0,6.0544,-0.00023799999999999998
125,-9.976,1.36,-6.08,5.913600000000001,-0.00023749999999999997
126,-9.976,1.36,-6.0,6.0544,-0.00023699999999999996
127,-9.628,1.2,-6.08,5.984,-0.00023649999999999998
128,-9.628,1.28,-6.0,5.913600000000001,-0.000236
129,-9.976,1.36,-6.08,6.1248000000000005,-0.00023549999999999998
130,-9.628,1.28,-6.0,6.0544,-0.00023499999999999997
131,-9.976,1.36,-6.08,5.913600000000001,-0.00023449999999999998
132,-9.628,1.28,-6.0,6.0544,-0.000234
133,-9.976,1.44,-6.16,5.913600000000001,-0.00023349999999999998
134,-9.628,1.28,-6.0,6.0544,-0.00023299999999999997
135,-9.976,1.44,-6.08,5.984,-0.00023249999999999996
136,-9.628,1.44,-6.0,6.0544,-0.00023199999999999997
137,-9.976,1.28,-6.16,5.913600000000001,-0.0002315
138,-9.976,1.44,-6.0,6.0544,-0.00023099999999999998
139,-9.628,1.36,-6.08,5.984,-0.00023049999999999996
140,-9.976,1.36,-6.0,6.0544,-0.00022999999999999998
141,-9.628,1.52,-6.08,5.984,-0.0002295
142,-9.628,1.36,-6.0,6.0544,-0.00022899999999999998
143,-9.976,1.52,-6.16,5.913600000000001,-0.00022849999999999997
144,-9.628,1.52,-6.0,5.984,-0.00022799999999999996
145,-9.976,1.36,-6.08,6.0544,-0.00022749999999999997
146,-9.628,1.36,-6.0,6.0544,-0.000227
147,-9.976,1.6,-6.08,5.984,-0.00022649999999999998
148,-9.628,1.44,-6.0,6.0544,-0.00022599999999999996
149,-9.976,1.6,-6.08,5.984,-0.00022549999999999998
150,-9.628,1.44,-6.0,6.0544,-0.000225
151,-9.976,1.6,-6.08,5.984,-0.00022449999999999998
152,-9.628,1.44,-6.0,6.0544,-0.00022399999999999997
153,-9.976,1.6,-6.08,5.984,-0.00022349999999999996
154,-9.976,1.6,-6.0,5.984,-0.00022299999999999997
155,-9.628,1.52,-6.08,6.0544,-0.0002225
156,-9.976,1.6,-6.08,5.984,-0.00022199999999999998
157,-9.628,1.52,-6.0,6.0544,-0.00022149999999999996
158,-9.628,1.52,-6.0,6.0544,-0.00022099999999999998
159,-9.976,1.68,-6.16,5.984,-0.0002205
160,-9.976,1.68,-6.0,6.0544,-0.00021999999999999998
161,-9.628,1.52,-6.08,5.913600000000001,-0.00021949999999999997
162,-9.628,1.52,-6.0,6.0544,-0.00021899999999999998
163,-9.976,1.68,-6.08,5.913600000000001,-0.00021849999999999997
164,-9.628,1.6,-6.08,6.0544,-0.00021799999999999999
165,-9.976,1.68,-6.0,5.984,-0.00021749999999999997
166,-9.628,1.6,-6.0,5.913600000000001,-0.00021699999999999996
167,-9.976,1.76,-6.08,6.1248000000000005,-0.00021649999999999998
168,-9.628,1.6,-6.08,6.0544,-0.000216
169,-9.976,1.76,-6.0,5.984,-0.00021549999999999998
170,-9.628,1.76,-6.0,5.984,-0.00021499999999999997
171,-9.976,1.6,-6.16,6.0544,-0.00021449999999999998
172,-9.628,1.76,-6.08,5.984,-0.000214
173,-9.976,1.68,-6.0,6.0544,-0.00021349999999999999
174,-9.976,1.76,-6.0,6.0544,-0.00021299999999999997
175,-9.628,1.68,-6.08,5.984,-0.00021249999999999996
176,-9.976,1.68,-6.0,5.984,-0.00021199999999999998
177,-9.628,1.84,-6.08,6.0544,-0.0002115
178,-9.628,1.84,-6.0,6.0544,-0.00021099999999999998
179,-9.976,1.68,-6.08,5.913600000000001,-0.00021049999999999997
180,-9.976,1.84,-6.0,5.984,-0.00020999999999999998
181,-9.512,1.68,-6.08,6.0544,-0.0002095
182,-9.628,1.84,-6.0,6.0544,-0.00020899999999999998
183,-9.976,1.76,-6.16,5.984,-0.00020849999999999997
184,-9.628,1.76,-6.08,6.0544,-0.00020799999999999996
185,-9.976,2.0,-6.0,5.913600000000001,-0.00020749999999999998
186,-9.628,1.76,-6.0,6.0544,-0.000207
187,-9.976,2.0,-6.08,5.984,-0.00020649999999999998
188,-9.628,2.0,-6.0,5.984,-0.00020599999999999997
189,-9.976,1.76,-6.08,6.0544,-0.00020549999999999998
190,-9.628,1.92,-6.08,6.0544,-0.000205
191,-9.976,2.0,-6.0,5.984,-0.00020449999999999998
192,-9.976,1.92,-6.0,5.984,-0.00020399999999999997
193,-9.628,2.0,-6.08,6.0544,-0.00020349999999999996
194,-9.976,1.92,-6.0,5.984,-0.00020299999999999997
195,-9.628,2.08,-6.16,6.0544,-0.0002025
196,-9.976,1.92,-6.0,6.0544,-0.00020199999999999998
197,-9.628,2.08,-6.08,5.913600000000001,-0.00020149999999999996
198,-9.628,2.08,-6.0,6.0544,-0.00020099999999999998
199,-9.976,1.92,-6.08,5.913600000000001,-0.0002005
200,-9.628,2.0,-6.0,5.984,-0.00019999999999999998
201,-9.976,2.08,-6.08,6.0544,-0.00019949999999999997
202,-9.628,2.0,-6.0,5.913600000000001,-0.00019899999999999996
203,-9.976,2.16,-6.08,6.1248000000000005,-0.00019849999999999997
204,-9.628,2.0,-6.0,5.984,-0.000198
205,-9.976,2.16,-6.08,6.0544,-0.00019749999999999998
206,-9.628,2.0,-6.0,5.984,-0.00019699999999999996
207,-9.976,2.16,-6.08,6.0544,-0.00019649999999999998
208,-9.628,2.08,-6.0,6.0544,-0.000196
209,-9.976,2.16,-6.16,5.913600000000001,-0.00019549999999999998
210,-9.628,2.16,-6.0,6.0544,-0.00019499999999999997
211,-9.976,2.08,-6.08,5.984,-0.00019449999999999998
212,-9.976,2.08,-6.0,6.0544,-0.00019399999999999997
213,-9.628,2.24,-6.08,5.984,-0.0001935
214,-9.976,2.08,-6.0,6.0544,-0.00019299999999999997
215,-9.628,2.24,-6.08,5.984,-0.00019249999999999996
216,-9.860000000000001,2.24,-6.0,5.984,-0.00019199999999999998
217,-9.628,2.08,-6.08,6.0544,-0.0001915
218,-9.628,2.16,-6.0,5.984,-0.00019099999999999998
219,-9.976,2.24,-6.08,6.0544,-0.00019049999999999997
220,-9.628,2.16,-6.0,6.0544,-0.00018999999999999998
221,-9.976,2.32,-6.08,5.913600000000001,-0.0001895
222,-9.628,2.16,-6.0,6.0544,-0.00018899999999999999
223,-9.976,2.32,-6.08,5.913600000000001,-0.00018849999999999997
224,-9.976,2.16,-6.0,6.0544,-0.00018799999999999996
225,-9.628,2.32,-6.08,5.984,-0.00018749999999999998
226,-9.628,2.32,-6.0,5.984,-0.000187
227,-9.976,2.16,-6.08,6.0544,-0.00018649999999999998
228,-9.976,2.32,-6.0,5.984,-0.00018599999999999997
229,-9.628,2.24,-6.16,6.0544,-0.00018549999999999998
230,-9.628,2.24,-6.08,5.984,-0.000185
231,-9.976,2.4,-6.0,6.0544,-0.00018449999999999999
232,-9.628,2.24,-6.0,6.0544,-0.00018399999999999997
233,-9.976,2.4,-6.16,5.984,-0.00018349999999999996
234,-9.628,2.4,-6.0,6.0544,-0.00018299999999999998
235,-9.976,2.24,-6.08,5.913600000000001,-0.0001825
236,-9.628,2.4,-6.0,5.984,-0.00018199999999999998
237,-9.976,2.32,-6.08,6.0544,-0.00018149999999999997
238,-9.628,2.32,-6.0,5.984,-0.00018099999999999998
239,-9.976,2.48,-6.08,6.0544,-0.0001805
240,-9.976,2.32,-6.0,5.913600000000001,-0.00017999999999999998
241,-9.628,2.48,-6.08,6.1248000000000005,-0.00017949999999999997
242,-9.628,2.48,-6.0,6.0544,-0.00017899999999999996
243,-10.092,2.32,-6.08,5.984,-0.00017849999999999997
244,-9.976,2.4,-6.0,5.984,-0.000178
245,-9.628,2.48,-6.08,6.0544,-0.00017749999999999998
246,-9.976,2.48,-6.0,6.0544,-0.000177
247,-9.628,2.4,-6.16,5.913600000000001,-0.00017649999999999998
248,-9.976,2.4,-6.0,6.0544,-0.00017599999999999997
249,-9.628,2.64,-6.08,5.984,-0.00017549999999999998
250,-9.628,2.4,-6.0,5.984,-0.00017499999999999997
251,-9.976,2.64,-6.08,6.0544,-0.00017449999999999999
252,-9.628,2.48,-6.0,5.984,-0.00017399999999999997
253,-9.976,2.64,-6.08,6.0544,-0.0001735
254,-9.628,2.56,-6.0,5.984,-0.00017299999999999998
255,-9.976,2.64,-6.08,6.0544,-0.0001725
256,-9.628,2.56,-6.0,6.0544,-0.00017199999999999998
257,-9.976,2.64,-6.08,5.984,-0.00017149999999999997
258,-9.976,2.56,-6.0,6.0544,-0.00017099999999999998
259,-9.628,2.72,-6.08,5.984,-0.00017049999999999997
260,-9.976,2.56,-6.0,6.0544,-0.00016999999999999999
261,-9.628,2.72,-6.08,5.984,-0.00016949999999999997
262,-9.628,2.72,-6.0,6.0544,-0.000169
263,-9.976,2.56,-6.08,5.913600000000001,-0.00016849999999999998
264,-9.628,2.64,-6.0,6.0544,-0.000168
265,-9.976,2.72,-6.08,5.984,-0.00016749999999999998
266,-9.628,2.64,-6.0,5.984,-0.00016699999999999997
267,-9.976,2.8000000000000003,-6.08,6.0544,-0.00016649999999999998
268,-9.628,2.64,-6.0,5.984,-0.00016599999999999997
269,-9.976,2.8000000000000003,-6.16,6.0544,-0.00016549999999999998
270,-9.628,2.8000000000000003,-6.08,6.0544,-0.00016499999999999997
271,-9.976,2.64,-6.0,5.913600000000001,-0.0001645
272,-9.628,2.8000000000000003,-6.0,6.0544,-0.00016399999999999997
273,-9.976,2.72,-6.08,5.984,-0.0001635
274,-9.976,2.72,-6.0,5.984,-0.00016299999999999998
275,-9.628,2.88,-6.08,6.0544,-0.0001625
276,-9.976,2.72,-6.08,6.0544,-0.00016199999999999998
277,-9.628,2.88,-6.0,5.984,-0.00016149999999999997
278,-9.976,2.72,-6.0,5.913600000000001,-0.00016099999999999998
279,-9.628,2.88,-6.08,6.1248000000000005,-0.00016049999999999997
280,-9.628,2.8000000000000003,-6.0,6.0544,-0.00015999999999999999
281,-9.976,2.88,-6.08,5.984,-0.00015949999999999997
282,-9.628,2.88,-6.0,6.0544,-0.000159
283,-9.976,2.8000000000000003,-6.16,5.913600000000001,-0.00015849999999999998
284,-9.628,2.8000000000000003,-6.0,5.984,-0.000158
285,-9.976,2.96,-6.16,6.0544,-0.00015749999999999998
286,-9.976,2.96,-6.0,5.984,-0.00015699999999999997
287,-9.512,2.8000000000000003,-6.08,6.0544,-0.00015649999999999998
288,-9.628,2.96,-6.0,6.0544,-0.00015599999999999997
289,-9.976,2.8000000000000003,-6.08,5.984,-0.00015549999999999999
290,-9.976,2.96,-6.0,5.984,-0.00015499999999999997
291,-9.628,2.88,-6.08,6.0544,-0.0001545
292,-9.628,2.96,-6.0,5.984,-0.00015399999999999998
293,-9.976,2.88,-6.08,6.0544,-0.0001535
294,-9.628,2.88,-6.0,6.0544,-0.00015299999999999998
295,-9.976,3.04,-6.08,5.984,-0.0001525
296,-9.976,3.04,-6.0,6.0544,-0.00015199999999999998
297,-9.628,2.88,-6.08,5.984,-0.00015149999999999997
298,-9.628,2.96,-6.0,5.984,-0.00015099999999999998
299,-9.976,3.04,-6.08,6.0544,-0.00015049999999999997
300,-9.628,3.04,-6.0,5.984,-0.00015
301,-9.976,2.96,-6.08,6.0544,-0.00014949999999999997
302,-9.628,2.96,-6.0,5.984,-0.000149
303,-9.976,3.12,-6.08,6.0544,-0.00014849999999999998
304,-9.976,2.96,-6.0,6.0544,-0.000148
305,-9.512,3.12,-6.16,5.913600000000001,-0.00014749999999999998
306,-9.628,3.12,-6.0,6.0544,-0.00014699999999999997
307,-9.976,2.96,-6.08,5.913600000000001,-0.00014649999999999998
308,-9.628,3.12,-6.0,5.913600000000001,-0.00014599999999999997
309,-9.976,3.04,-6.08,6.0544,-0.00014549999999999999
310,-9.976,3.04,-6.0,5.984,-0.00014499999999999997
