,CHAN1,CHAN2,CHAN3,CHAN4,time
0,-9.628,3.2,-2.08,6.0544,-0.003
1,-9.976,3.36,-1.92,5.913600000000001,-0.0029950000000000003
2,-9.628,3.2800000000000002,-2.08,6.0544,-0.00299
3,-9.976,3.44,-2.0,5.913600000000001,-0.0029850000000000002
4,-9.628,3.36,-2.08,6.0544,-0.00298
5,-9.976,3.52,-1.92,5.913600000000001,-0.002975
6,-9.976,3.36,-2.08,6.0544,-0.00297
7,-9.512,3.52,-1.92,5.913600000000001,-0.002965
8,-9.628,3.44,-2.08,6.0544,-0.00296
9,-9.976,3.6,-1.92,5.913600000000001,-0.002955
10,-9.628,3.52,-2.08,6.0544,-0.00295
11,-9.976,3.68,-1.92,5.913600000000001,-0.002945
12,-9.628,3.6,-2.08,6.0544,-0.00294
13,-9.976,3.7600000000000002,-1.92,5.913600000000001,-0.002935
14,-9.976,3.7600000000000002,-2.16,6.0544,-0.00293
15,-9.628,3.6,-1.92,5.913600000000001,-0.002925
16,-9.512,3.68,-2.08,6.0544,-0.00292
17,-9.976,3.92,-1.92,5.984,-0.002915
18,-9.512,3.84,-2.0,6.0544,-0.0029100000000000003
19,-9.976,4.0,-2.16,5.984,-0.002905
20,-9.628,3.92,-2.08,5.984,-0.0029000000000000002
21,-9.976,4.08,-1.92,6.0544,-0.002895
22,-9.976,3.92,-2.08,6.0544,-0.00289
23,-9.628,4.08,-1.92,5.913600000000001,-0.002885
24,-9.628,4.0,-2.08,5.984,-0.00288
25,-9.976,4.16,-1.92,6.0544,-0.002875
26,-9.628,4.0,-2.08,6.0544,-0.00287
27,-9.976,4.24,-1.92,5.913600000000001,-0.002865
28,-9.628,4.24,-2.08,6.0544,-0.00286
29,-9.976,4.08,-1.92,5.913600000000001,-0.002855
30,-9.628,4.16,-2.08,6.0544,-0.00285
31,-9.976,4.32,-1.92,5.913600000000001,-0.002845
32,-9.628,4.24,-2.0,6.0544,-0.00284
33,-9.976,4.4,-2.08,5.913600000000001,-0.002835
34,-9.628,4.32,-2.08,6.0544,-0.00283
35,-9.976,4.5600000000000005,-1.92,5.913600000000001,-0.0028250000000000003
36,-9.628,4.32,-2.08,6.0544,-0.00282
37,-9.976,4.64,-1.92,5.913600000000001,-0.0028150000000000002
38,-9.628,4.48,-2.16,6.0544,-0.00281
39,-9.976,4.64,-1.92,5.984,-0.002805
40,-9.628,4.5600000000000005,-2.08,6.0544,-0.0028
41,-9.976,4.72,-2.0,5.913600000000001,-0.002795
42,-9.628,4.64,-2.08,6.0544,-0.00279
43,-9.976,4.8,-2.0,5.984,-0.002785
44,-9.628,4.64,-2.08,6.0544,-0.00278
45,-9.976,4.8,-1.92,5.913600000000001,-0.002775
46,-9.628,4.72,-2.08,5.984,-0.00277
47,-9.976,4.88,-1.92,6.0544,-0.002765
48,-9.628,4.8,-2.16,6.0544,-0.00276
49,-9.976,4.96,-1.92,5.913600000000001,-0.002755
50,-9.628,4.88,-2.08,5.984,-0.00275
51,-9.976,5.04,-1.92,6.0544,-0.002745
52,-9.628,5.04,-2.08,6.0544,-0.0027400000000000002
53,-9.976,4.88,-1.92,5.913600000000001,-0.002735
54,-9.628,4.96,-2.08,6.0544,-0.0027300000000000002
55,-9.976,5.12,-2.0,5.984,-0.002725
56,-9.976,5.04,-2.08,6.0544,-0.00272
57,-9.512,5.28,-1.92,5.913600000000001,-0.002715
