,CHAN1,CHAN2,CHAN3,CHAN4,time
0,3.52,2.67,-10.808,2.0,-0.0003
1,3.36,2.82,-10.856,2.08,-0.00029949999999999996
2,3.52,2.79,-10.808,2.0,-0.00029899999999999995
3,3.36,2.6999999999999997,-10.872,2.08,-0.0002985
4,3.52,2.79,-10.808,2.08,-0.000298
5,3.36,2.6999999999999997,-10.872,2.0,-0.00029749999999999997
6,3.52,2.79,-10.856,2.0,-0.00029699999999999996
7,3.36,2.6999999999999997,-10.808,2.08,-0.0002965
8,3.52,2.6999999999999997,-10.936,2.08,-0.000296
9,3.36,2.79,-10.768,2.0,-0.00029549999999999997
10,3.52,2.6999999999999997,-10.872,2.08,-0.00029499999999999996
11,3.36,2.82,-10.8,2.0,-0.00029449999999999995
12,3.52,2.79,-10.808,2.0,-0.000294
13,3.36,2.67,-10.872,2.08,-0.0002935
14,3.52,2.6999999999999997,-10.8,2.0,-0.00029299999999999997
15,3.36,2.79,-10.888,2.08,-0.00029249999999999995
16,3.52,2.79,-10.8,2.0,-0.000292
17,3.36,2.6999999999999997,-10.88,2.08,-0.0002915
18,3.52,2.6999999999999997,-10.808,1.96,-0.00029099999999999997
19,3.36,2.79,-10.872,2.12,-0.00029049999999999996
20,3.36,2.6999999999999997,-10.808,2.08,-0.00029
21,3.52,2.79,-10.872,2.0,-0.0002895
22,3.52,2.79,-10.808,2.08,-0.000289
23,3.36,2.6999999999999997,-10.864,2.0,-0.00028849999999999997
24,3.52,2.6999999999999997,-10.808,2.08,-0.00028799999999999995
25,3.36,2.79,-10.872,2.0,-0.0002875
26,3.52,2.6999999999999997,-10.8,2.0,-0.000287
27,3.36,2.79,-10.872,2.08,-0.00028649999999999997
28,3.52,2.79,-10.856,2.08,-0.00028599999999999996
29,3.36,2.6999999999999997,-10.8,2.0,-0.00028549999999999995
30,3.36,2.6999999999999997,-10.864,2.0,-0.000285
31,3.52,2.79,-10.808,2.08,-0.0002845
32,3.52,2.6999999999999997,-10.808,2.08,-0.00028399999999999996
33,3.36,2.79,-10.872,2.0,-0.00028349999999999995
34,3.52,2.6999999999999997,-10.856,2.0,-0.000283
35,3.36,2.79,-10.808,2.08,-0.0002825
36,3.52,2.67,-10.872,2.0,-0.00028199999999999997
37,3.36,2.82,-10.808,2.08,-0.00028149999999999996
38,3.36,2.79,-10.808,2.08,-0.000281
39,3.52,2.6999999999999997,-10.864,2.0,-0.0002805
40,3.52,2.79,-10.808,2.0,-0.00028
41,3.36,2.6999999999999997,-10.872,2.08,-0.00027949999999999996
42,3.36,2.6999999999999997,-10.856,2.0,-0.00027899999999999995
43,3.52,2.79,-10.808,2.08,-0.0002785
44,3.52,2.79,-10.856,2.08,-0.000278
45,3.36,2.6999999999999997,-10.808,2.0,-0.00027749999999999997
46,3.52,2.6999999999999997,-10.928,2.0,-0.00027699999999999996
47,3.36,2.79,-10.768,2.08,-0.0002765
48,3.36,2.79,-10.808,2.0,-0.000276
49,3.52,2.67,-10.872,2.08,-0.0002755
50,3.52,2.6999999999999997,-10.872,2.08,-0.00027499999999999996
51,3.36,2.79,-10.808,2.0,-0.00027449999999999995
52,3.52,2.6999999999999997,-10.872,2.0,-0.000274
53,3.36,2.79,-10.792,2.08,-0.0002735
54,3.52,2.6999999999999997,-10.872,2.08,-0.00027299999999999997
55,3.36,2.79,-10.808,2.0,-0.00027249999999999996
56,3.52,2.6999999999999997,-10.864,1.92,-0.000272
57,3.36,2.79,-10.808,2.12,-0.0002715
58,3.52,2.6999999999999997,-10.808,2.0,-0.000271
59,3.36,2.79,-10.872,2.08,-0.00027049999999999996
60,3.52,2.6999999999999997,-10.856,2.08,-0.00026999999999999995
61,3.36,2.79,-10.808,2.0,-0.0002695
62,3.52,2.79,-10.856,2.0,-0.000269
63,3.36,2.6999999999999997,-10.808,2.08,-0.00026849999999999997
64,3.52,2.79,-10.808,2.08,-0.00026799999999999995
65,3.36,2.6999999999999997,-10.864,2.0,-0.0002675
66,3.52,2.6999999999999997,-10.864,2.0,-0.000267
67,3.36,2.79,-10.8,2.08,-0.00026649999999999997
68,3.52,2.6999999999999997,-10.8,2.0,-0.00026599999999999996
69,3.36,2.79,-10.88,2.08,-0.0002655
70,3.52,2.79,-10.872,2.08,-0.000265
71,3.36,2.6999999999999997,-10.792,2.0,-0.0002645
72,3.36,2.6999999999999997,-10.808,2.08,-0.00026399999999999997
73,3.52,2.79,-10.872,2.0,-0.00026349999999999995
74,3.52,2.79,-10.88,2.0,-0.000263
75,3.36,2.67,-10.8,2.08,-0.0002625
76,3.52,2.79,-10.8,2.0,-0.00026199999999999997
77,3.36,2.6999999999999997,-10.872,2.08,-0.00026149999999999996
78,3.52,2.79,-10.864,2.08,-0.00026099999999999995
79,3.36,2.6999999999999997,-10.808,2.0,-0.0002605
80,3.52,2.79,-10.8,2.0,-0.00026
81,3.36,2.6999999999999997,-10.872,2.08,-0.00025949999999999997
82,3.36,2.6999999999999997,-10.936,2.0,-0.00025899999999999995
83,3.52,2.79,-10.76,2.08,-0.0002585
84,3.52,2.6999999999999997,-10.896,2.0,-0.000258
85,3.36,2.79,-10.8,2.08,-0.00025749999999999997
86,3.52,2.6999999999999997,-10.808,2.0,-0.00025699999999999996
87,3.36,2.79,-10.864,2.08,-0.0002565
88,3.52,2.79,-10.872,2.0,-0.000256
89,3.36,2.6999999999999997,-10.8,2.08,-0.0002555
90,3.52,2.6999999999999997,-10.872,2.0,-0.00025499999999999996
91,3.36,2.79,-10.808,2.08,-0.00025449999999999995
92,3.36,2.6999999999999997,-10.808,2.08,-0.000254
93,3.52,2.79,-10.872,2.0,-0.0002535
94,3.52,2.79,-10.856,1.96,-0.00025299999999999997
95,3.36,2.6999999999999997,-10.808,2.12,-0.00025249999999999996
96,3.52,2.6999999999999997,-10.808,2.08,-0.00025199999999999995
97,3.36,2.79,-10.856,2.0,-0.0002515
98,3.52,2.6999999999999997,-10.808,2.08,-0.000251
99,3.36,2.79,-10.872,2.0,-0.00025049999999999996
100,3.52,2.6999999999999997,-10.808,2.08,-0.00025
101,3.36,2.79,-10.864,2.0,-0.0002495
102,3.52,2.6999999999999997,-10.864,2.08,-0.000249
103,3.36,2.79,-10.808,2.0,-0.00024849999999999997
104,3.52,2.79,-10.864,2.0,-0.00024799999999999996
105,3.36,2.6999999999999997,-10.808,2.08,-0.0002475
106,3.52,2.79,-10.808,2.0,-0.000247
107,3.36,2.6999999999999997,-10.864,2.08,-0.0002465
108,3.52,2.6999999999999997,-10.856,2.0,-0.00024599999999999996
109,3.36,2.79,-10.808,2.08,-0.00024549999999999995
110,3.52,2.79,-10.856,2.0,-0.000245
111,3.36,2.6999999999999997,-10.808,2.08,-0.0002445
112,3.52,2.67,-10.872,2.08,-0.00024399999999999997
113,3.36,2.85,-10.784,2.0,-0.00024349999999999998
114,3.52,2.79,-10.808,2.08,-0.00024299999999999997
115,3.36,2.6999999999999997,-10.864,2.0,-0.00024249999999999999
116,3.52,2.6999999999999997,-10.88,2.0,-0.00024199999999999997
117,3.36,2.79,-10.8,2.08,-0.00024149999999999996
118,3.52,2.6999999999999997,-10.808,2.08,-0.00024099999999999998
119,3.36,2.79,-10.872,2.0,-0.0002405
120,3.52,2.6999999999999997,-10.912,2.0,-0.00023999999999999998
121,3.36,2.79,-10.768,2.08,-0.00023949999999999997
122,3.52,2.6999999999999997,-10.8,2.0,-0.00023899999999999998
123,3.36,2.79,-10.864,2.08,-0.0002385
124,3.52,2.6999999999999997,-10.872,2.0,-0.00023799999999999998
125,3.36,2.79,-10.8,2.08,-0.00023749999999999997
126,3.52,2.79,-10.872,2.08,-0.00023699999999999996
127,3.36,2.6999999999999997,-10.8,2.0,-0.00023649999999999998
128,3.52,2.79,-10.808,2.0,-0.000236
129,3.36,2.6999999999999997,-10.88,2.08,-0.00023549999999999998
130,3.52,2.79,-10.872,2.08,-0.00023499999999999997
131,3.36,2.6999999999999997,-10.808,2.0,-0.00023449999999999998
132,3.52,2.6999999999999997,-10.808,1.96,-0.000234
133,3.36,2.79,-10.872,2.12,-0.00023349999999999998
134,3.52,2.6999999999999997,-10.856,2.0,-0.00023299999999999997
135,3.36,2.79,-10.808,2.08,-0.00023249999999999996
136,3.52,2.6999999999999997,-10.808,2.0,-0.00023199999999999997
137,3.36,2.79,-10.864,2.08,-0.0002315
138,3.52,2.6999999999999997,-10.808,2.08,-0.00023099999999999998
